Survived,Pclass,Age,Fare,male,C,Q,S,SibSp_0,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6
0,3,22.0,7.25,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,38.0,71.2833,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,26.0,7.925,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,35.0,53.1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,3,35.0,8.05,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,25.0,8.4583,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,54.0,51.8625,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,2.0,21.075,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,3,27.0,11.1333,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,14.0,30.0708,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,4.0,16.7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,1,58.0,26.55,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,20.0,8.05,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,39.0,31.275,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,3,14.0,7.8542,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,55.0,16.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,2.0,29.125,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,2,30.0,13.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,31.0,18.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,25.0,7.225,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,35.0,26.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,34.0,13.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,15.0,8.0292,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,28.0,35.5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,8.0,21.075,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,3,38.0,31.3875,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,3,25.0,7.225,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,19.0,263.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,3,25.0,7.8792,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,25.0,7.8958,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.0,27.7208,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,38.0,146.5208,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,25.0,7.75,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,66.0,10.5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,28.0,82.1708,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,42.0,52.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,25.0,7.2292,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,21.0,8.05,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,18.0,18.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
